PAYER_NAME,NAME,COVER_ID
MTIBA INSURANCE KENYA,chronic   pre-existing,2414
MTIBA INSURANCE KENYA,chronic   pre-existing,2743
MTIBA INSURANCE KENYA,chronic   pre-existing,3220
MTIBA INSURANCE KENYA,chronic   pre-existing,61423
MTIBA INSURANCE KENYA,chronic   pre-existing,61426
MTIBA INSURANCE KENYA,chronic   pre-existing,62126
MTIBA INSURANCE KENYA,chronic   pre-existing,65637
MTIBA INSURANCE KENYA,chronic   pre-existing,65641
MTIBA INSURANCE KENYA,chronic   pre-existing,65763
MTIBA INSURANCE KENYA,chronic   pre-existing,66785
MTIBA INSURANCE KENYA,chronic   pre-existing,68453
MTIBA INSURANCE KENYA,chronic   pre-existing,70777
MTIBA INSURANCE KENYA,chronic   pre-existing,70900
MTIBA INSURANCE KENYA,chronic   pre-existing,70908
MTIBA INSURANCE KENYA,chronic   pre-existing,70913
MTIBA INSURANCE KENYA,chronic   pre-existing,70918
MTIBA INSURANCE KENYA,chronic   pre-existing,71354
MTIBA INSURANCE KENYA,chronic   pre-existing,71365
MTIBA INSURANCE KENYA,chronic   pre-existing,71438
MTIBA INSURANCE KENYA,chronic   pre-existing,81271
MTIBA INSURANCE KENYA,chronic   pre-existing,97244
MTIBA INSURANCE KENYA,chronic   pre-existing,113422
MTIBA INSURANCE KENYA,chronic   pre-existing,141818
MTIBA INSURANCE KENYA,chronic   pre-existing,143429
MTIBA INSURANCE KENYA,chronic   pre-existing,143859
MTIBA INSURANCE KENYA,chronic   pre-existing,143937
MTIBA INSURANCE KENYA,chronic   pre-existing,146689
MTIBA INSURANCE KENYA,chronic   pre-existing,147878
MTIBA INSURANCE KENYA,chronic   pre-existing,147883
MTIBA INSURANCE KENYA,chronic  pre-existing,60127
MTIBA INSURANCE KENYA,chronic  pre-existing,60129
MTIBA INSURANCE KENYA,chronic  pre-existing,63032
MTIBA INSURANCE KENYA,chronic  pre-existing,63177
MTIBA INSURANCE KENYA,chronic  pre-existing,64124
MTIBA INSURANCE KENYA,chronic  pre-existing,65757
MTIBA INSURANCE KENYA,chronic  pre-existing,66861
MTIBA INSURANCE KENYA,chronic  pre-existing,68373
MTIBA INSURANCE KENYA,chronic  pre-existing,68386
