PAYER_NAME,NAME,COVER_ID
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,2414
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,2743
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,3220
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,61423
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,61426
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,62126
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,65637
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,65641
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,65763
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,66785
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,68453
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,70777
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,70900
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,70908
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,70913
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,70918
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,71354
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,71365
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,71438
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,81271
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,97244
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,113422
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,141818
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,143429
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,143859
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,143937
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,146689
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,147878
MTIBA INSURANCE KENYA,CHRONIC / HIV-AIDS / PRE-EXISTING,147883
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,60127
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,60129
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,63032
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,63177
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,64124
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,65757
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,66861
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68373
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68386
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68465
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68756
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68920
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68930
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68941
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,68949
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,69225
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,69247
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,69415
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,69423
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,69630
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,69634
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,71380
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,72645
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,72705
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,79303
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,79603
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,80420
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,80465
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,80468
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,80746
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,80807
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81063
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81064
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81065
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81073
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81074
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81075
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81076
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81077
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81252
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81261
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81621
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,81625
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,83377
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,83378
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,83379
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,91074
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,100740
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,100745
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,100750
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,100755
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,106156
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,106163
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,106167
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,106253
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,111140
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,112627
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,112635
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,112642
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,112815
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,113141
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,113147
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,116920
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,116932
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,119986
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,130811
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,130905
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,141507
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,142897
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,142903
MTIBA INSURANCE KENYA,CHRONIC / PRE-EXISTING / HIV / CANCER,143881
